name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S8-glyme-vdw,Na2S8,,Na–S–Na,104.29,Glyme,True,True,1,104.29,nan,0.00,nan,nan
Na2S8-glyme-vdw,Na2S8,,S–Na–S,108.18,Glyme,True,True,1,108.18,nan,0.00,nan,nan
Na2S8-glyme-vdw,Na2S8,,S–S–S,115.03,Glyme,True,True,2,115.03,1.59,1.12,1.12,nan
Na2S8-glyme-vdw,Na2S8,,S–S–Na,92.53,Glyme,True,True,3,95.01,7.79,6.36,4.50,-1.29
Na2S8-glyme-vdw-elecmin,Na2S8,,S–S–S,116.27,Glyme,False,True,2,116.27,0.77,0.55,0.55,nan
Na2S8-vdw,Na2S8,,S–S–S,111.78,Vacuum,True,True,6,111.89,2.10,1.91,0.86,-0.23
Na2S8-vdw,Na2S8,,S–S–Na,93.38,Vacuum,True,True,8,95.51,21.32,19.94,7.54,0.97
Na2S8-vdw,Na2S8,,Na–S–Na,75.54,Vacuum,True,True,2,75.54,1.59,1.12,1.12,nan
Na2S8-vdw,Na2S8,,S–Na–S,96.57,Vacuum,True,True,6,100.99,28.69,26.19,11.71,-1.64
Na2S8-vdw,Na2S8,,S–Na–Na,63.55,Vacuum,True,True,6,53.35,21.41,19.54,8.74,2.08
Na2S8-vdw-elecmin,Na2S8,,S–S–Na,92.81,Vacuum,False,True,4,90.78,14.21,12.31,7.10,0.83
Na2S8-vdw-elecmin,Na2S8,,S–Na–S,112.63,Vacuum,False,True,2,112.63,9.10,6.44,6.44,nan
Na2S8-vdw-elecmin,Na2S8,,S–Na–Na,62.06,Vacuum,False,True,4,59.64,14.82,12.84,7.41,0.36
Na2S8-vdw-elecmin,Na2S8,,S–S–S,114.10,Vacuum,False,True,2,114.10,1.29,0.91,0.91,nan
Na2S8-vdw-elecmin,Na2S8,,Na–S–Na,80.62,Vacuum,False,True,1,80.62,nan,0.00,nan,nan
