name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S4-glyme-vdw-elecmin,Na2S4,,Na–S–Na,78.64,Glyme,False,True,4,78.56,7.08,6.13,3.54,0.00
Na2S4-glyme-vdw-elecmin,Na2S4,,S–S–S,75.74,Glyme,False,True,5,89.81,37.43,33.48,16.74,-0.43
Na2S4-glyme-vdw-elecmin,Na2S4,,S–Na–S,56.60,Glyme,False,True,12,52.99,20.68,19.80,5.97,0.44
Na2S4-glyme-vdw-elecmin,Na2S4,,S–Na–Na,50.68,Glyme,False,True,8,47.59,6.63,6.20,2.34,1.40
Na2S4-vdw,Na2S4,,S–S–Na,69.57,Vacuum,True,True,12,67.51,13.72,13.13,3.96,0.26
Na2S4-vdw,Na2S4,,Na–S–Na,76.90,Vacuum,True,True,4,76.89,6.45,5.58,3.22,0.00
Na2S4-vdw,Na2S4,,S–S–S,108.95,Vacuum,True,True,2,108.95,0.01,0.01,0.01,nan
Na2S4-vdw,Na2S4,,S–Na–S,60.16,Vacuum,True,True,12,56.27,21.75,20.82,6.28,0.41
Na2S4-vdw,Na2S4,,S–Na–Na,51.55,Vacuum,True,True,8,48.76,6.53,6.11,2.31,1.35
Na2S4-vdw-elecmin,Na2S4,,Na–S–Na,76.90,Vacuum,False,True,4,76.89,6.45,5.58,3.22,0.00
Na2S4-vdw-elecmin,Na2S4,,S–S–Na,69.57,Vacuum,False,True,12,67.51,13.72,13.13,3.96,0.26
Na2S4-vdw-elecmin,Na2S4,,S–Na–S,60.16,Vacuum,False,True,12,56.27,21.75,20.82,6.28,0.41
Na2S4-vdw-elecmin,Na2S4,,S–S–S,108.95,Vacuum,False,True,2,108.95,0.01,0.01,0.01,nan
Na2S4-vdw-elecmin,Na2S4,,S–Na–Na,51.55,Vacuum,False,True,8,48.76,6.53,6.11,2.31,1.35
Na2S6,Na2S6,,S–S–S,76.58,Vacuum,True,False,10,100.32,36.49,34.62,11.54,-0.44
Na2S6,Na2S6,,S–S–Na,76.59,Vacuum,True,False,24,69.74,27.17,26.60,5.55,1.19
Na2S6,Na2S6,,S–Na–Na,56.05,Vacuum,True,False,10,45.31,21.97,20.84,6.95,1.49
Na2S6,Na2S6,,S–Na–S,64.05,Vacuum,True,False,20,69.72,22.01,21.45,4.92,0.23
Na2S6,Na2S6,,Na–S–Na,87.97,Vacuum,True,False,4,87.97,11.32,9.80,5.66,0.00
Na2S6-PC,Na2S6,,S–Na–S,54.76,PC,True,False,20,60.63,19.39,18.90,4.34,0.11
Na2S6-PC,Na2S6,,Na–S–Na,90.26,PC,True,False,4,90.25,10.77,9.33,5.39,0.00
Na2S6-PC,Na2S6,,S–S–Na,81.18,PC,True,False,24,71.75,28.40,27.80,5.80,1.26
