name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
TiO2-glyme-elecmin,,TiO2,O–Ti–O,102.85,Glyme,False,False,82,90.00,33.85,33.64,3.74,1.87
graphene-PC-SCF,,graphene,C–C–C,120.00,PC,True,False,170,120.00,0.00,0.00,0.00,-1.15
graphene-PC-elecmin,,graphene,C–C–C,120.00,PC,False,False,170,120.00,0.00,0.00,0.00,-1.15
graphene-SCF,,graphene,C–C–C,120.01,Vacuum,True,False,170,120.01,0.08,0.08,0.01,-0.30
graphene-elecmin,,graphene,C–C–C,120.01,Vacuum,False,False,170,120.01,0.08,0.08,0.01,-0.30
graphene-glyme-SCF,,graphene,C–C–C,120.00,Glyme,True,False,170,120.00,0.00,0.00,0.00,-1.15
graphene-glyme-elecmin,,graphene,C–C–C,120.00,Glyme,False,False,170,120.00,0.00,0.00,0.00,-1.15
graphene_vdw-PC-SCF-vdw,,graphene_vdw,C–C–C,120.00,PC,True,True,170,120.00,0.00,0.00,0.00,-1.15
graphene_vdw-PC-elecmin-vdw,,graphene_vdw,C–C–C,120.00,PC,False,True,170,120.00,0.00,0.00,0.00,-1.15
graphene_vdw-SCF-vdw,,graphene_vdw,C–C–C,120.01,Vacuum,True,True,170,120.01,0.08,0.08,0.01,-0.30
graphene_vdw-SCF-vdw (2),,graphene_vdw,C–C–C,120.01,Vacuum,True,True,170,120.01,0.08,0.08,0.01,-0.30
graphene_vdw-elecmin-vdw,,graphene_vdw,C–C–C,120.01,Vacuum,False,True,170,120.01,0.08,0.08,0.01,-0.30
graphene_vdw-elecmin-vdw (2),,graphene_vdw,C–C–C,120.01,Vacuum,False,True,170,120.01,0.08,0.08,0.01,-0.30
graphene_vdw-glyme-SCF-vdw,,graphene_vdw,C–C–C,120.00,Glyme,True,True,170,120.00,0.00,0.00,0.00,-1.15
graphene_vdw-glyme-vdw-elecmin,,graphene_vdw,C–C–C,120.00,Glyme,False,True,170,120.00,0.00,0.00,0.00,-1.15
