name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S8,Na2S8,,Na–Na,3.5215,Vacuum,True,False,1,3.5215,nan,0.0000,nan,nan
Na2S8,Na2S8,,S–Na,3.0365,Vacuum,True,False,12,3.0512,0.2582,0.2473,0.0746,0.1325
Na2S8-PC,Na2S8,,S–Na,4.2116,PC,True,False,4,4.2318,0.0957,0.0829,0.0479,-0.9839
Na2S8-PC,Na2S8,,S–S,2.3884,PC,True,False,9,2.0496,0.5795,0.5464,0.1932,1.4031
Na2S8-PC-elecmin,Na2S8,,S–Na,4.2112,PC,False,False,4,4.2318,0.0950,0.0823,0.0475,-1.0049
Na2S8-PC-elecmin,Na2S8,,S–S,2.3889,PC,False,False,9,2.0492,0.5801,0.5470,0.1934,1.4031
Na2S8-PC-vdw,Na2S8,,S–Na,3.8678,PC,True,True,9,3.8293,0.1006,0.0948,0.0335,0.8807
Na2S8-PC-vdw,Na2S8,,S–S,2.1039,PC,True,True,7,2.0431,0.1494,0.1383,0.0565,1.2938
Na2S8-PC-vdw-elecmin,Na2S8,,S–S,2.2651,PC,False,True,8,2.0417,0.4788,0.4479,0.1693,2.4140
Na2S8-PC-vdw-elecmin,Na2S8,,S–Na,3.8743,PC,False,True,9,3.8381,0.1021,0.0962,0.0340,1.1148
Na2S8-elecmin,Na2S8,,S–Na,3.0365,Vacuum,False,False,12,3.0512,0.2582,0.2473,0.0746,0.1325
Na2S8-elecmin,Na2S8,,Na–Na,3.5215,Vacuum,False,False,1,3.5215,nan,0.0000,nan,nan
Na2S8-elecmin,Na2S8,,S–S,2.5026,Vacuum,False,False,10,2.2174,0.6281,0.5958,0.1986,0.7956
Na2S8-glyme,Na2S8,,S–Na,3.4870,Glyme,True,False,12,3.5560,0.5840,0.5591,0.1686,0.1206
Na2S8-glyme,Na2S8,,Na–Na,3.8150,Glyme,True,False,1,3.8150,nan,0.0000,nan,nan
Na2S8-glyme,Na2S8,,S–S,2.3605,Glyme,True,False,9,2.0659,0.5603,0.5283,0.1868,1.5959
Na2S8-glyme-elecmin,Na2S8,,Na–Na,3.7359,Glyme,False,False,1,3.7359,nan,0.0000,nan,nan
Na2S8-glyme-elecmin,Na2S8,,S–S,2.3630,Glyme,False,False,9,2.0652,0.5679,0.5354,0.1893,1.6014
Na2S8-glyme-elecmin,Na2S8,,S–Na,3.4872,Glyme,False,False,12,3.4157,0.6004,0.5748,0.1733,0.2993
Na2S8-glyme-vdw,Na2S8,,S–Na,3.4294,Glyme,True,True,12,3.5713,0.4569,0.4375,0.1319,-0.4447
Na2S8-glyme-vdw,Na2S8,,S–S,2.3931,Glyme,True,True,9,2.0582,0.5817,0.5485,0.1939,1.3736
Na2S8-glyme-vdw,Na2S8,,Na–Na,4.4341,Glyme,True,True,1,4.4341,nan,0.0000,nan,nan
Na2S8-glyme-vdw-elecmin,Na2S8,,S–Na,3.7580,Glyme,False,True,12,3.7141,0.3146,0.3012,0.0908,0.4926
Na2S8-glyme-vdw-elecmin,Na2S8,,S–S,2.1190,Glyme,False,True,7,2.0433,0.2094,0.1939,0.0792,1.5948
Na2S8-vdw,Na2S8,,S–S,2.2427,Vacuum,True,True,8,2.0855,0.4665,0.4363,0.1649,2.8184
Na2S8-vdw,Na2S8,,S–Na,3.2007,Vacuum,True,True,12,3.1563,0.4285,0.4102,0.1237,0.0967
Na2S8-vdw,Na2S8,,Na–Na,3.3694,Vacuum,True,True,1,3.3694,nan,0.0000,nan,nan
Na2S8-vdw-elecmin,Na2S8,,S–S,2.4911,Vacuum,False,True,10,2.1944,0.6298,0.5974,0.1991,0.8754
Na2S8-vdw-elecmin,Na2S8,,S–Na,3.2790,Vacuum,False,True,14,3.3732,0.4489,0.4326,0.1200,0.1825
Na2S8-vdw-elecmin,Na2S8,,Na–Na,3.5096,Vacuum,False,True,1,3.5096,nan,0.0000,nan,nan
